Date,PL Account,Amount,Description,Counterparty
2023-06-10,G&A expenses:Salary G&A Tax Expenses,-2984.28,Transaction 2787,Counterparty 2787
2023-03-01,Undeposited Funds,-3637.17,Transaction 2788,Counterparty 2788
2023-08-13,Exchange Loss,-946.16,Transaction 2789,Counterparty 2789
2023-09-09,Marketing and sales:Design,251.17,Transaction 2790,Counterparty 2790
2023-03-28,Staff expenses:Corporate events,-1052.75,Transaction 2791,Counterparty 2791
2024-02-09,Grants and other financial income,2190.55,Transaction 2792,Counterparty 2792
2024-02-02,Purchase & Sales of intangible assets,1881.39,Transaction 2793,Counterparty 2793
2023-01-08,Current portion of long-term debt,4011.61,Transaction 2794,Counterparty 2794
2023-08-03,Other comprehensive income,4142.98,Transaction 2795,Counterparty 2795
2023-04-06,G&A expenses:Salary G&A,-4557.91,Transaction 2796,Counterparty 2796
2023-01-09,Staff expenses:Corporate events,4679.59,Transaction 2797,Counterparty 2797
2024-01-13,"Property, Plant And Equipment Accumulated Depreciation",72.58,Transaction 2798,Counterparty 2798
2023-11-11,Professional services:Bookkeeping,2601.29,Transaction 2799,Counterparty 2799
2024-04-30,Mercury CHE *6028,-3858.92,Transaction 2800,Counterparty 2800
2024-05-18,Bookkeeping subscription,139.44,Transaction 2801,Counterparty 2801
2023-11-17,Staff expenses,206.5,Transaction 2802,Counterparty 2802
2024-03-08,Inventory,688.35,Transaction 2803,Counterparty 2803
2024-05-27,Dividends payable,-3706.83,Transaction 2804,Counterparty 2804
2023-11-30,Billable Expense Income,-2155.0,Transaction 2805,Counterparty 2805
2023-05-31,Staff expenses:Recruitment expenses,1407.04,Transaction 2806,Counterparty 2806
2023-05-29,Accrued non-current liabilities,3115.54,Transaction 2807,Counterparty 2807
2024-04-06,R&D expenses:R&D team salary,3295.38,Transaction 2808,Counterparty 2808
2023-11-22,Consulting,-1907.7,Transaction 2809,Counterparty 2809
2024-01-29,Marketing and sales:Other sales expenses,-2815.4,Transaction 2810,Counterparty 2810
2023-06-17,Interest Income,-3877.55,Transaction 2811,Counterparty 2811
2023-08-28,Professional services:Legal consultancy,-283.61,Transaction 2812,Counterparty 2812
2023-05-09,Comissions and fees from sales,837.9,Transaction 2813,Counterparty 2813
2024-04-07,Direct labour:Bonuses,4154.58,Transaction 2814,Counterparty 2814
2023-06-13,Inventory,-1368.62,Transaction 2815,Counterparty 2815
2024-02-14,Office expenses,-859.55,Transaction 2816,Counterparty 2816
2023-11-17,Intangible assets,30.45,Transaction 2817,Counterparty 2817
2024-05-18,Consulting,-4061.28,Transaction 2818,Counterparty 2818
2024-01-27,Payroll Clearing,-1127.78,Transaction 2819,Counterparty 2819
2023-12-04,Sales,-3836.87,Transaction 2820,Counterparty 2820
2023-02-06,WISE EUR,-1085.81,Transaction 2821,Counterparty 2821
2023-01-19,Intangible assets,1720.0,Transaction 2822,Counterparty 2822
2023-07-30,Comissions and fees from sales,376.64,Transaction 2823,Counterparty 2823
2024-04-23,Marketing and sales:Advertising,-1135.16,Transaction 2824,Counterparty 2824
2024-04-27,Short-term debit,-4556.94,Transaction 2825,Counterparty 2825
2023-06-11,Other Expenses,4564.19,Transaction 2826,Counterparty 2826
2024-02-26,Marketing and sales:Refferal program,-2891.77,Transaction 2827,Counterparty 2827
2023-11-11,"Marketing and sales:Content creation (newsletters, blog, social media)",-2022.55,Transaction 2828,Counterparty 2828
2024-06-11,Equity in earnings of subsidiaries,4193.27,Transaction 2829,Counterparty 2829
2023-01-17,Goodwill,-1200.95,Transaction 2830,Counterparty 2830
2023-08-24,Inventory,1005.03,Transaction 2831,Counterparty 2831
2024-03-07,G&A expenses:Salary G&A,617.9,Transaction 2832,Counterparty 2832
2023-06-12,Marketing and sales:Other marketing expenses,-4007.23,Transaction 2833,Counterparty 2833
2024-05-07,Professional services:Legal consultancy,4470.63,Transaction 2834,Counterparty 2834
2024-02-28,R&D expenses:R&D software & other services,-2828.82,Transaction 2835,Counterparty 2835
2024-03-26,Receiving & Repayment of loans,477.98,Transaction 2836,Counterparty 2836
2024-02-08,Growth subscription,313.26,Transaction 2837,Counterparty 2837
2024-03-18,Project's direct cost:Subcontractors,-2481.89,Transaction 2838,Counterparty 2838
2024-02-17,Marketing and sales,-2778.81,Transaction 2839,Counterparty 2839
2023-09-08,Payroll Clearing,3161.95,Transaction 2840,Counterparty 2840
2023-03-15,Long-Term Investments,-2584.27,Transaction 2841,Counterparty 2841
2023-03-03,Dividends paid,4213.47,Transaction 2842,Counterparty 2842
2023-11-07,Bookkeeping subscription,2181.43,Transaction 2843,Counterparty 2843
2023-11-07,Short-term debit,4431.18,Transaction 2844,Counterparty 2844
2023-07-27,Goodwill,-1334.83,Transaction 2845,Counterparty 2845
2023-04-11,Marketing and sales:Advertising,31.28,Transaction 2846,Counterparty 2846
2023-09-07,Equity in earnings of subsidiaries,561.05,Transaction 2847,Counterparty 2847
2024-03-22,G&A expenses:Salary G&A Tax Expenses,2450.84,Transaction 2848,Counterparty 2848
2024-04-03,Dividend disbursed,4628.07,Transaction 2849,Counterparty 2849
2023-07-24,Direct labour:Bonuses,3309.57,Transaction 2850,Counterparty 2850
2023-09-26,Professional services:Professional services,-1858.65,Transaction 2851,Counterparty 2851
2024-05-26,Accounts Receivable (A/R) - EUR,-1122.3,Transaction 2852,Counterparty 2852
2023-01-04,Direct labour:Labour tax,-798.06,Transaction 2853,Counterparty 2853
2023-04-02,Undeposited Funds,-440.86,Transaction 2854,Counterparty 2854
2024-04-21,Inventory,4075.94,Transaction 2855,Counterparty 2855
2023-11-08,Share capital,3431.14,Transaction 2856,Counterparty 2856
2023-04-06,R&D expenses:R&D team salary,4422.45,Transaction 2857,Counterparty 2857
2023-09-07,Direct labour,2947.86,Transaction 2858,Counterparty 2858
2023-06-12,Accounts Receivable (A/R) - EUR,3624.44,Transaction 2859,Counterparty 2859
2024-05-05,"Marketing and sales:Content creation (newsletters, blog, social media)",3546.36,Transaction 2860,Counterparty 2860
2023-04-03,"Property, Plant And Equipment Accumulated Depreciation",3037.58,Transaction 2861,Counterparty 2861
2023-04-12,Accounts Payable (A/P),-4001.85,Transaction 2862,Counterparty 2862
2023-07-14,Mercury Checking *8932,1350.27,Transaction 2863,Counterparty 2863
2023-09-25,Professional services:Contractors,3739.73,Transaction 2864,Counterparty 2864
2023-01-18,Amortisation / Depreciation:Amortisation,3049.88,Transaction 2865,Counterparty 2865
2023-08-26,Taxes,-2556.45,Transaction 2866,Counterparty 2866
2023-03-08,Marketing and sales:PR,-1178.66,Transaction 2867,Counterparty 2867
2023-02-24,Work in process,992.4,Transaction 2868,Counterparty 2868
2024-04-04,"Marketing and sales:Content creation (newsletters, blog, social media)",594.84,Transaction 2869,Counterparty 2869
2024-02-19,Marketing and sales:M&S team salary tax expenses,-2014.46,Transaction 2870,Counterparty 2870
2023-07-30,Principal repayment of lease obligations,2420.25,Transaction 2871,Counterparty 2871
2024-05-06,Interest Payable,-920.4,Transaction 2872,Counterparty 2872
2024-01-14,Other Expenses:Other general and administrative expenses,3066.75,Transaction 2873,Counterparty 2873
2023-05-25,Marketing and sales:Sales software & other services,-2521.9,Transaction 2874,Counterparty 2874
2024-04-03,Taxes:State Taxes,-1371.18,Transaction 2875,Counterparty 2875
2023-04-21,Purchase & Sales of property and equipment,3837.87,Transaction 2876,Counterparty 2876
2023-09-05,Uncategorised Expense,-450.84,Transaction 2877,Counterparty 2877
2024-05-14,CHASE SAV *2868,-4949.93,Transaction 2878,Counterparty 2878
2023-02-26,Growth subscription,2773.94,Transaction 2879,Counterparty 2879
2024-02-02,Taxes,-4889.63,Transaction 2880,Counterparty 2880
2023-07-19,Billable Expense Income,2547.76,Transaction 2881,Counterparty 2881
2023-11-05,Other income,390.11,Transaction 2882,Counterparty 2882
2023-05-11,Other Expenses:Other general and administrative expenses,2960.88,Transaction 2883,Counterparty 2883
2023-01-11,Interest Income,297.16,Transaction 2884,Counterparty 2884
2023-05-25,Amortisation / Depreciation:Amortisation,3322.23,Transaction 2885,Counterparty 2885
2023-12-21,Dividends payable,-417.06,Transaction 2886,Counterparty 2886
2023-12-13,Exchange Loss,2737.98,Transaction 2887,Counterparty 2887
2024-05-29,Comissions and fees from sales,12.51,Transaction 2888,Counterparty 2888
2024-05-21,Principal repayment of lease obligations,-486.74,Transaction 2889,Counterparty 2889
2023-12-02,Mercury Savings *6214,1672.09,Transaction 2890,Counterparty 2890
2023-12-23,Other Expenses:PE Tax,-2862.45,Transaction 2891,Counterparty 2891
2024-03-23,Project's direct cost,-3975.96,Transaction 2892,Counterparty 2892
2024-01-08,Staff expenses:Recruitment software,3278.46,Transaction 2893,Counterparty 2893
2023-07-01,Prepaid expenses administrative,280.29,Transaction 2894,Counterparty 2894
2024-04-11,Interest Payable,-4513.85,Transaction 2895,Counterparty 2895
2023-09-14,R&D expenses:R&D software & other services,1859.2,Transaction 2896,Counterparty 2896
2024-02-09,G&A expenses:Salary G&A Tax Expenses,326.68,Transaction 2897,Counterparty 2897
2024-03-01,Direct labour:Project team salary,-4087.58,Transaction 2898,Counterparty 2898
2023-07-08,Other income,-3898.37,Transaction 2899,Counterparty 2899
2024-05-16,Other income,1824.75,Transaction 2900,Counterparty 2900
2024-02-25,Marketing and sales:M&S team salary tax expenses,4239.7,Transaction 2901,Counterparty 2901
2024-06-01,Staff expenses:Recruitment expenses,1408.71,Transaction 2902,Counterparty 2902
2024-01-25,Staff expenses:Other staff expenses,-3469.85,Transaction 2903,Counterparty 2903
2023-05-28,Interest Expenses,1588.71,Transaction 2904,Counterparty 2904
2023-03-22,Accounts Receivable (A/R),-73.04,Transaction 2905,Counterparty 2905
2023-12-04,Professional services:Legal consultancy,3194.23,Transaction 2906,Counterparty 2906
2024-05-23,Bookkeeping (reporting),898.56,Transaction 2907,Counterparty 2907
2023-12-25,Marketing and sales:Marketing team salary,4773.98,Transaction 2908,Counterparty 2908
2023-03-15,Marketing and sales:Other sales expenses,-3303.01,Transaction 2909,Counterparty 2909
2023-05-31,Intangible Assets Accumulated Amortization,-3281.39,Transaction 2910,Counterparty 2910
2024-03-13,Office expenses:Rent,-562.33,Transaction 2911,Counterparty 2911
2023-09-24,Financial Modeling,941.34,Transaction 2912,Counterparty 2912
2023-12-06,Travelling expenses,301.66,Transaction 2913,Counterparty 2913
2023-06-04,Marketing and sales:Refferal program,-430.98,Transaction 2914,Counterparty 2914
2023-08-29,Professional services:Professional services,-4857.66,Transaction 2915,Counterparty 2915
2023-12-19,Less:Refferal discount,-4883.34,Transaction 2916,Counterparty 2916
2023-08-20,Marketing and sales:Sales software & other services,6.9,Transaction 2917,Counterparty 2917
2023-01-25,Other income,-2219.04,Transaction 2918,Counterparty 2918
2023-09-23,R&D expenses:R&D team salary,-1493.86,Transaction 2919,Counterparty 2919
2023-05-10,Marketing and sales:Other marketing expenses,4604.44,Transaction 2920,Counterparty 2920
2024-06-11,Loans to Others,2558.69,Transaction 2921,Counterparty 2921
2024-06-01,G&A expenses:Salary G&A Tax Expenses,-4985.61,Transaction 2922,Counterparty 2922
2023-06-02,Dividends paid,3505.51,Transaction 2923,Counterparty 2923
2023-05-10,Dividends payable,1970.52,Transaction 2924,Counterparty 2924
2023-12-18,Inventory Asset,-1893.52,Transaction 2925,Counterparty 2925
2024-05-22,Other Expenses,1559.98,Transaction 2926,Counterparty 2926
2023-09-11,Financial Modeling,-1134.02,Transaction 2927,Counterparty 2927
2023-06-07,"Marketing and sales:Content creation (newsletters, blog, social media)",-4842.01,Transaction 2928,Counterparty 2928
2023-03-22,Marketing and sales:Design,-3073.14,Transaction 2929,Counterparty 2929
2023-08-16,Essential subscription,-1611.28,Transaction 2930,Counterparty 2930
2023-03-29,Prepaid Income,4271.88,Transaction 2931,Counterparty 2931
2023-09-08,Marketing and sales:Website improvements,1349.13,Transaction 2932,Counterparty 2932
2023-12-10,Purchase & Sales of property and equipment,1721.59,Transaction 2933,Counterparty 2933
2024-06-09,Professional services:Contractors,-1456.63,Transaction 2934,Counterparty 2934
2023-07-28,Available for sale assets (short-term),206.84,Transaction 2935,Counterparty 2935
2023-11-19,Marketing and sales:Website improvements,3522.7,Transaction 2936,Counterparty 2936
2024-04-04,Dividends payable,-499.61,Transaction 2937,Counterparty 2937
2023-12-17,Marketing and sales:Marketing software & other services,-103.37,Transaction 2938,Counterparty 2938
2023-06-21,Billable Expense Income,3415.03,Transaction 2939,Counterparty 2939
2024-04-10,Other income,-2227.64,Transaction 2940,Counterparty 2940
2023-11-21,Share capital,1670.66,Transaction 2941,Counterparty 2941
2023-04-16,R&D expenses:R&D team salary tax expenses,2106.5,Transaction 2942,Counterparty 2942
2023-11-08,Marketing and sales:Other sales expenses,-2219.57,Transaction 2943,Counterparty 2943
2024-02-12,Uncategorised Expense,-3279.13,Transaction 2944,Counterparty 2944
2023-09-06,Professional services:Contractors,4345.92,Transaction 2945,Counterparty 2945
2024-04-15,Stripe fees,-3589.76,Transaction 2946,Counterparty 2946
2024-04-08,Prepaid expenses for projects,4059.33,Transaction 2947,Counterparty 2947
2024-04-28,WISE EUR,2436.55,Transaction 2948,Counterparty 2948
2023-02-01,Taxes:Federal Taxes,-841.1,Transaction 2949,Counterparty 2949
2023-11-17,Office expenses:Other office expenses,1856.23,Transaction 2950,Counterparty 2950
2023-11-25,Stripe,-3485.83,Transaction 2951,Counterparty 2951
2023-07-16,Accounts Payable (A/P),3714.05,Transaction 2952,Counterparty 2952
2024-03-07,Stripe fees,3790.78,Transaction 2953,Counterparty 2953
2023-05-08,Office expenses:Facilities,1040.16,Transaction 2954,Counterparty 2954
2023-02-08,Dividends payable,-889.64,Transaction 2955,Counterparty 2955
2023-04-20,Available for sale assets (short-term),3069.83,Transaction 2956,Counterparty 2956
2023-12-16,Comissions and fees from sales,3224.74,Transaction 2957,Counterparty 2957
2023-05-20,Professional services:Financial & legal software,3110.95,Transaction 2958,Counterparty 2958
2024-02-22,Staff expenses,-3448.28,Transaction 2959,Counterparty 2959
2023-10-19,Stripe,4662.05,Transaction 2960,Counterparty 2960
2023-09-12,Interest Income,1456.02,Transaction 2961,Counterparty 2961
2024-04-13,Marketing and sales:Design,-2960.39,Transaction 2962,Counterparty 2962
2024-03-17,Opening Balance Equity,-3167.63,Transaction 2963,Counterparty 2963
2023-06-10,Long-Term Investments,-1679.67,Transaction 2964,Counterparty 2964
2023-04-24,Professional services,-2396.49,Transaction 2965,Counterparty 2965
2023-07-09,Office expenses:Other office expenses,1035.51,Transaction 2966,Counterparty 2966
2023-03-27,Financial Modeling,-4221.3,Transaction 2967,Counterparty 2967
2023-08-08,Growth subscription,-2110.28,Transaction 2968,Counterparty 2968
2023-04-21,Receiving & Repayment of loans,2886.4,Transaction 2969,Counterparty 2969
2023-08-10,Current portion of long-term debt,3695.15,Transaction 2970,Counterparty 2970
2023-05-22,Accrued holiday payable,1785.18,Transaction 2971,Counterparty 2971
2023-05-28,Project's direct cost:Software expenses,-494.52,Transaction 2972,Counterparty 2972
2023-04-30,Interest Expenses,4893.36,Transaction 2973,Counterparty 2973
2023-06-05,Marketing and sales:Other marketing expenses,-2901.1,Transaction 2974,Counterparty 2974
2023-09-07,Taxes,2281.1,Transaction 2975,Counterparty 2975
2024-02-27,Other Expenses:Social Tax,-1526.17,Transaction 2976,Counterparty 2976
2023-09-17,Other Expenses:Comissions and fees,168.1,Transaction 2977,Counterparty 2977
2024-04-08,Income,2391.21,Transaction 2978,Counterparty 2978
2024-03-14,Dividends paid,2690.22,Transaction 2979,Counterparty 2979
2023-02-09,Professional services:Legal consultancy,1043.17,Transaction 2980,Counterparty 2980
2023-07-10,CHASE CHE *8731,2218.8,Transaction 2981,Counterparty 2981
2023-09-27,Project's direct cost:Subcontractors,3215.66,Transaction 2982,Counterparty 2982
2023-11-19,Staff expenses,823.48,Transaction 2983,Counterparty 2983
2024-05-28,Proceeds from debt,-4269.78,Transaction 2984,Counterparty 2984
2023-09-04,Marketing and sales:M&S team salary tax expenses,86.69,Transaction 2985,Counterparty 2985
2024-01-15,Staff expenses:Education,3259.1,Transaction 2986,Counterparty 2986
2024-03-27,Direct labour:Bonuses,1579.39,Transaction 2987,Counterparty 2987
2024-03-27,G&A expenses:Salary G&A,-2418.53,Transaction 2988,Counterparty 2988
2023-03-12,Proceeds from debt,285.1,Transaction 2989,Counterparty 2989
2023-03-22,Equity in earnings of subsidiaries,1446.76,Transaction 2990,Counterparty 2990
2023-03-09,Marketing and sales:Website improvements,-3648.45,Transaction 2991,Counterparty 2991
2023-03-25,Other Expenses:PE Tax,2279.03,Transaction 2992,Counterparty 2992
2023-01-02,Professional services,1238.14,Transaction 2993,Counterparty 2993
2023-12-27,Stripe,3009.95,Transaction 2994,Counterparty 2994
2024-05-07,Marketing and sales:PR,1292.42,Transaction 2995,Counterparty 2995
2023-06-01,Intangible assets,-4026.24,Transaction 2996,Counterparty 2996
2024-04-20,Professional services:Bookkeeping,488.3,Transaction 2997,Counterparty 2997
2023-03-26,G&A expenses,4193.33,Transaction 2998,Counterparty 2998
2024-03-23,Accrued non-current liabilities,2512.61,Transaction 2999,Counterparty 2999
2023-06-26,Sales,4498.68,Transaction 3000,Counterparty 3000
2023-05-09,Purchase & Sales of property and equipment,848.96,Transaction 3001,Counterparty 3001
2024-01-11,Accounts Payable (A/P),2780.97,Transaction 3002,Counterparty 3002
2023-10-25,Retained Earnings,1809.29,Transaction 3003,Counterparty 3003
2023-04-29,"Property, Plant And Equipment Accumulated Depreciation",1708.86,Transaction 3004,Counterparty 3004
2023-03-23,Accrued holiday payable,-746.96,Transaction 3005,Counterparty 3005
2024-04-22,Undeposited Funds,-1554.44,Transaction 3006,Counterparty 3006
2024-01-15,Retained Earnings,2054.46,Transaction 3007,Counterparty 3007
2023-04-13,Bookkeeping (reporting),-525.76,Transaction 3008,Counterparty 3008
2023-10-24,Other Expenses:Other general and administrative expenses,2713.69,Transaction 3009,Counterparty 3009
2023-06-13,Essential subscription,-3679.72,Transaction 3010,Counterparty 3010
2024-03-23,R&D expenses:R&D software & other services,3878.65,Transaction 3011,Counterparty 3011
2023-06-19,Other income,-4967.16,Transaction 3012,Counterparty 3012
2023-12-06,Sales,4255.86,Transaction 3013,Counterparty 3013
2023-06-06,R&D expenses:R&D team salary tax expenses,3863.98,Transaction 3014,Counterparty 3014
2024-03-12,Other Expenses:Comissions and fees,-4138.65,Transaction 3015,Counterparty 3015
2023-12-16,Marketing and sales:Sales bonus,2682.73,Transaction 3016,Counterparty 3016
2023-09-22,Accrued liabilities,4893.65,Transaction 3017,Counterparty 3017
2023-08-25,Amortisation / Depreciation,1143.55,Transaction 3018,Counterparty 3018
2024-05-14,Travelling expenses,-1258.43,Transaction 3019,Counterparty 3019
2024-02-28,Taxes,878.57,Transaction 3020,Counterparty 3020
2023-03-08,Office expenses:Office equipment,-3523.22,Transaction 3021,Counterparty 3021
2024-06-02,Retained Earnings,-1755.44,Transaction 3022,Counterparty 3022
2023-08-21,Professional services:Legal consultancy,-3287.58,Transaction 3023,Counterparty 3023
2023-06-06,WISE USD,2326.94,Transaction 3024,Counterparty 3024
2023-10-30,Interest Payable,3131.3,Transaction 3025,Counterparty 3025
2023-01-07,R&D expenses:R&D team salary tax expenses,-3404.33,Transaction 3026,Counterparty 3026
2023-02-09,"Property, plant and equipment",-2387.48,Transaction 3027,Counterparty 3027
2024-06-12,Dividends payable,3011.27,Transaction 3028,Counterparty 3028
2023-08-23,Marketing and sales:Website improvements,4018.41,Transaction 3029,Counterparty 3029
2023-03-09,Accrued holiday payable,4457.51,Transaction 3030,Counterparty 3030
2024-06-11,Accounts Receivable (A/R) - EUR,4818.69,Transaction 3031,Counterparty 3031
2023-10-04,Marketing and sales:Sales team salary,-843.18,Transaction 3032,Counterparty 3032
2023-08-31,Taxes:State Taxes,2924.16,Transaction 3033,Counterparty 3033
2024-04-10,Dividends payable,1679.21,Transaction 3034,Counterparty 3034
2024-03-31,Mercury Checking *8932,-594.94,Transaction 3035,Counterparty 3035
2023-09-29,Essential subscription,-2824.56,Transaction 3036,Counterparty 3036
2023-05-16,Goodwill,-2768.95,Transaction 3037,Counterparty 3037
2023-10-28,Direct labour:Bonuses,3538.29,Transaction 3038,Counterparty 3038
2024-01-07,Interest Expenses,4682.23,Transaction 3039,Counterparty 3039
2024-02-19,WISE EUR,1597.41,Transaction 3040,Counterparty 3040
2023-07-09,Common stock,1846.34,Transaction 3041,Counterparty 3041
2023-05-15,Marketing and sales:Sales bonus,-2348.98,Transaction 3042,Counterparty 3042
2023-01-10,Work in process,-1848.78,Transaction 3043,Counterparty 3043
2023-10-08,Stripe fees,4510.23,Transaction 3044,Counterparty 3044
2023-12-05,Proceeds from debt,-3924.01,Transaction 3045,Counterparty 3045
2023-04-12,Project's direct cost,1987.52,Transaction 3046,Counterparty 3046
2023-03-02,Proceeds from debt,1922.87,Transaction 3047,Counterparty 3047
2024-05-11,Accrued non-current liabilities,-3296.32,Transaction 3048,Counterparty 3048
2023-11-24,Direct labour:Labour tax,441.24,Transaction 3049,Counterparty 3049
2024-03-16,R&D expenses:R&D software & other services,1015.24,Transaction 3050,Counterparty 3050
2024-06-01,Dividend disbursed,-1340.56,Transaction 3051,Counterparty 3051
2023-04-29,Marketing and sales:Marketing software & other services,3365.48,Transaction 3052,Counterparty 3052
2024-05-09,Retained Earnings,-645.42,Transaction 3053,Counterparty 3053
2023-06-30,Other comprehensive income,4333.48,Transaction 3054,Counterparty 3054
2024-06-10,Stripe expenses,-65.24,Transaction 3055,Counterparty 3055
2024-02-26,Staff expenses:Other staff expenses,-1036.2,Transaction 3056,Counterparty 3056
2024-04-25,Professional services:Financial & legal software,-4723.88,Transaction 3057,Counterparty 3057
2023-02-13,Grants and other financial income,3831.98,Transaction 3058,Counterparty 3058
2024-02-05,Professional services:Financial consultancy,-830.74,Transaction 3059,Counterparty 3059
2024-04-13,Stripe Other fees,4370.44,Transaction 3060,Counterparty 3060
2024-02-12,Project's direct cost:Software expenses,-3138.87,Transaction 3061,Counterparty 3061
2023-07-19,Staff expenses,579.62,Transaction 3062,Counterparty 3062
2023-10-09,Comissions and fees from sales:Stripe fee,-557.35,Transaction 3063,Counterparty 3063
2023-11-08,Prepaid Income,1499.9,Transaction 3064,Counterparty 3064
2023-05-13,Intangible Assets Accumulated Amortization,3474.29,Transaction 3065,Counterparty 3065
2024-01-28,Professional services:Professional services,3233.44,Transaction 3066,Counterparty 3066
2024-01-26,Inventory,-653.31,Transaction 3067,Counterparty 3067
2023-01-26,Marketing and sales:Sales software & other services,2239.61,Transaction 3068,Counterparty 3068
2023-12-04,Work in process,-1206.83,Transaction 3069,Counterparty 3069
2023-04-04,Stripe sales,932.39,Transaction 3070,Counterparty 3070
2023-09-02,"Property, Plant And Equipment Accumulated Depreciation",-3819.12,Transaction 3071,Counterparty 3071
2023-01-30,Equity in earnings of subsidiaries,3539.69,Transaction 3072,Counterparty 3072
2023-01-20,Accounts Payable (A/P),3092.89,Transaction 3073,Counterparty 3073
2023-02-03,Accounts Receivable (A/R) - EUR,-957.91,Transaction 3074,Counterparty 3074
2023-06-18,Professional services:Financial & legal software,-3664.66,Transaction 3075,Counterparty 3075
2023-05-13,R&D expenses:R&D team salary,1260.22,Transaction 3076,Counterparty 3076
2024-05-12,CHASE SAV *2868,-3869.56,Transaction 3077,Counterparty 3077
2023-04-10,Accounts Receivable (A/R),4537.83,Transaction 3078,Counterparty 3078
2023-04-05,Other Expenses:Other general and administrative expenses,2696.1,Transaction 3079,Counterparty 3079
2023-05-18,Marketing and sales:Advertising,-1563.96,Transaction 3080,Counterparty 3080
2023-05-05,Donation,3936.86,Transaction 3081,Counterparty 3081
2023-07-20,Accounts Receivable (A/R),-4980.54,Transaction 3082,Counterparty 3082
2024-05-22,Growth subscription,94.89,Transaction 3083,Counterparty 3083
2023-09-26,Billable Expense Income,-4922.81,Transaction 3084,Counterparty 3084
2024-01-06,Taxes:State Taxes,-4722.55,Transaction 3085,Counterparty 3085
2023-01-20,Income,-4651.92,Transaction 3086,Counterparty 3086
2023-02-28,"Property, Plant And Equipment Accumulated Depreciation",3057.34,Transaction 3087,Counterparty 3087
2024-03-24,Project's direct cost:Software expenses,-3181.77,Transaction 3088,Counterparty 3088
2024-06-18,Marketing and sales:Refferal program,-2812.48,Transaction 3089,Counterparty 3089
2023-12-22,Short-term debit,-1915.91,Transaction 3090,Counterparty 3090
2023-11-21,Marketing and sales:Other marketing expenses,-1925.33,Transaction 3091,Counterparty 3091
2023-07-09,Current portion of long-term debt,-4628.91,Transaction 3092,Counterparty 3092
2023-10-17,Sales,2730.47,Transaction 3093,Counterparty 3093
2024-03-09,Marketing and sales,3495.91,Transaction 3094,Counterparty 3094
2023-06-23,Liabilities related to assets held for sale,4416.89,Transaction 3095,Counterparty 3095
2023-01-10,Less,845.65,Transaction 3096,Counterparty 3096
2023-05-24,Equity in earnings of subsidiaries,-2006.76,Transaction 3097,Counterparty 3097
2024-04-14,Opening Balance Equity,372.08,Transaction 3098,Counterparty 3098
2023-05-01,Dividend disbursed,3291.61,Transaction 3099,Counterparty 3099
2024-05-20,Inventory,-3189.05,Transaction 3100,Counterparty 3100
2024-05-16,Staff expenses:Operational software,3485.93,Transaction 3101,Counterparty 3101
2023-11-12,Long-term debt,836.04,Transaction 3102,Counterparty 3102
2023-05-08,Taxes:State Taxes,3176.44,Transaction 3103,Counterparty 3103
2023-06-10,Other Expenses:PE Tax,2466.75,Transaction 3104,Counterparty 3104
2023-12-20,Other Expenses:Social Tax,4466.01,Transaction 3105,Counterparty 3105
2024-02-09,Mercury Savings *6214,-400.27,Transaction 3106,Counterparty 3106
2024-03-01,Financial Modeling,-1672.1,Transaction 3107,Counterparty 3107
2023-02-23,Bookkeeping (reporting),2645.12,Transaction 3108,Counterparty 3108
2024-05-25,Billable Expense Income,-1416.99,Transaction 3109,Counterparty 3109
2023-03-30,Marketing and sales:Other marketing expenses,2736.86,Transaction 3110,Counterparty 3110
2023-06-13,R&D expenses:R&D team salary tax expenses,-1272.41,Transaction 3111,Counterparty 3111
2023-10-11,Other Expenses:PE Tax,2907.61,Transaction 3112,Counterparty 3112
2023-11-25,Goodwill,-3696.3,Transaction 3113,Counterparty 3113
2023-04-12,Available for sale assets (short-term),1536.51,Transaction 3114,Counterparty 3114
2024-06-15,R&D expenses:R&D team salary,-3620.88,Transaction 3115,Counterparty 3115
2024-03-19,Opening Balance Equity,4335.39,Transaction 3116,Counterparty 3116
2023-07-31,Staff expenses:Recruitment expenses,-2122.95,Transaction 3117,Counterparty 3117
2024-04-23,Professional services:Bookkeeping,-1737.8,Transaction 3118,Counterparty 3118
2023-12-24,Short-term debit,-3658.61,Transaction 3119,Counterparty 3119
2024-02-20,Dividends payable,-3542.45,Transaction 3120,Counterparty 3120
2023-01-08,Principal repayment of lease obligations,-1032.54,Transaction 3121,Counterparty 3121
2023-05-03,Other Expenses:Social Tax,-495.12,Transaction 3122,Counterparty 3122
2023-06-12,Less,-3030.0,Transaction 3123,Counterparty 3123
2023-02-26,Amortisation / Depreciation:Amortisation,3212.86,Transaction 3124,Counterparty 3124
2024-05-19,Interest Expenses,-531.0,Transaction 3125,Counterparty 3125
2023-09-01,G&A expenses:Salary G&A Tax Expenses,-4827.89,Transaction 3126,Counterparty 3126
2023-04-01,Accounts Receivable (A/R),-2607.16,Transaction 3127,Counterparty 3127
2023-01-13,Liabilities related to assets held for sale,-2449.06,Transaction 3128,Counterparty 3128
2023-08-14,G&A expenses:Salary G&A Tax Expenses,-1633.21,Transaction 3129,Counterparty 3129
2023-10-27,Marketing and sales:Marketing software & other services,1257.32,Transaction 3130,Counterparty 3130
2023-02-02,"Marketing and sales:Content creation (newsletters, blog, social media)",1071.83,Transaction 3131,Counterparty 3131
